[dotenv@17.2.3] injecting env (5) from .env.local -- tip: ⚙️  specify custom .env file path with { path: '/custom/path/.env' }

📊 Add Research Snapshots to Articles

Mode: ✏️  APPLY CHANGES
Limit: 1000

📚 Total articles checked: 656
   Already have Research Snapshot: 44
   Candidates with identifiable topics: 161


📁 COMPARISON
  ✅ cbn-vs-melatonin: 100 studies (Moderate)
  ✅ cbd-vs-melatonin: 100 studies (Moderate)
  ✅ cbd-vs-ashwagandha: 100 studies (Moderate)
  ✅ cbd-vs-turmeric: 100 studies (Moderate)
  ✅ cbd-vs-lavender: 100 studies (Moderate)
  ✅ cbd-vs-arnica: 100 studies (Moderate)
  ✅ cbd-vs-essential-oils: 100 studies (Moderate)
  ✅ cbd-vs-ibuprofen: 100 studies (Moderate)
  ✅ cbd-vs-nsaids: 100 studies (Moderate)
  ✅ cbd-vs-paracetamol: 100 studies (Moderate)
  ✅ cbd-vs-prescription-painkillers: 100 studies (Moderate)
  ✅ cbd-vs-ssris: 100 studies (Moderate)
  ✅ cbd-vs-sleeping-pills: 100 studies (Moderate)
  ✅ cbd-vs-steroids: 100 studies (Moderate)
  ✅ cbd-vs-acupuncture: 100 studies (Moderate)
  ✅ full-spectrum-vs-isolate-for-anxiety: 100 studies (Moderate)
  ✅ cbd-vs-prescription-anxiety-meds: 100 studies (Moderate)
  ✅ cbd-vs-benzodiazepines: 100 studies (Moderate)
  ✅ cbd-vs-prescription-sleep-aids: 100 studies (Moderate)
  ✅ cbd-vs-gabapentin: 100 studies (Moderate)
  ✅ cbd-vs-valerian: 100 studies (Moderate)
  ✅ cbd-vs-rhodiola: 100 studies (Moderate)
  ✅ cbd-vs-st-johns-wort: 100 studies (Moderate)
  ✅ full-spectrum-vs-isolate-for-sleep: 100 studies (Moderate)
  ✅ cbd-vs-prescription-pain-meds: 100 studies (Moderate)

📁 EDUCATIONAL
  ✅ cbd-for-dating-anxiety: 100 studies (Moderate)
  ✅ limonene: 100 studies (Moderate)
  ✅ nerolidol: 100 studies (Moderate)
  ✅ humulene: 100 studies (Moderate)
  ✅ bisabolol: 100 studies (Moderate)
  ✅ cbd-terminology-glossary: 100 studies (Moderate)
  ✅ can-i-use-cbd-oil-on-skin: 100 studies (Moderate)
  ✅ cbd-for-dog-anxiety: 100 studies (Moderate)
  ✅ cbd-for-dog-arthritis: 100 studies (Moderate)
  ✅ cbd-for-grief: 100 studies (Moderate)
  ✅ key-cbd-anxiety-studies: 100 studies (Moderate)
  ✅ key-cbd-pain-studies: 100 studies (Moderate)
  ✅ cbd-for-autoimmune-conditions: 100 studies (Moderate)
  ✅ key-cbd-epilepsy-studies: 100 studies (Moderate)
  ✅ cbd-for-dog-nausea: 93 studies (Moderate)
  ✅ how-much-cbd-for-dogs: 60 studies (Moderate)
  ✅ cbd-for-dog-separation-anxiety: 100 studies (Moderate)
  ✅ cbd-for-dog-thunderstorm-anxiety: 100 studies (Moderate)
  ✅ cbd-for-dog-car-sickness: 100 studies (Moderate)
  ✅ how-much-cbd-for-cats: 60 studies (Moderate)
  ✅ cbd-for-cat-pain: 100 studies (Moderate)
  ✅ cbd-for-cat-cancer: 100 studies (Moderate)
  ✅ cbd-for-horse-arthritis: 100 studies (Moderate)
  ✅ cbd-for-exam-anxiety: 100 studies (Moderate)
  ✅ cbd-for-horse-anxiety: 100 studies (Moderate)

  --- Progress: 50/161 ---

  ✅ cbd-for-bird-anxiety: 100 studies (Moderate)
  ✅ camphene: 73 studies (Moderate)
  ✅ cbd-inflammation-research: 100 studies (Moderate)
  ✅ cbd-for-hamsters: 100 studies (Moderate)
  ✅ how-much-cbd-for-small-pets: 60 studies (Moderate)
  ✅ cbd-neuroprotection-research: 44 studies (Moderate)
  ✅ cbd-for-wedding-day: 100 studies (Moderate)
  ✅ cbd-for-pet-travel-anxiety: 100 studies (Moderate)
  ✅ cbd-for-first-responders: 100 studies (Moderate)
  ✅ cbd-for-dog-hip-dysplasia: 100 studies (Moderate)
  ✅ cbd-for-dog-cancer: 100 studies (Moderate)
  ✅ cbd-for-joint-health: 100 studies (Moderate)
  ✅ cbd-for-performance-review-anxiety: 100 studies (Moderate)
  ✅ cbd-for-nerve-pain: 100 studies (Moderate)
  ✅ cbd-for-healthcare-anxiety: 100 studies (Moderate)
  ✅ cbd-for-back-pain: 100 studies (Moderate)
  ✅ cbd-for-social-anxiety: 100 studies (Moderate)
  ✅ cbd-for-digestive-health: 4 studies (Limited)
  ✅ cbd-for-headaches: 100 studies (Moderate)
  ✅ cbd-for-exam-stress: 100 studies (Moderate)
  ✅ cbd-for-panic-attacks: 100 studies (Moderate)
  ✅ cbd-for-weight-management: 60 studies (Moderate)
  ✅ cbd-for-stage-fright: 100 studies (Moderate)
  ✅ cbd-for-pms: 100 studies (Moderate)
  ✅ cbd-for-mood: 100 studies (Moderate)
  ✅ cbd-for-college-students: 100 studies (Moderate)
  ✅ cbd-for-mma-fighters: 60 studies (Moderate)
  ✅ is-cbd-legal-in-spain: 100 studies (Moderate)
  ✅ cbd-for-office-workers: 100 studies (Moderate)
  ✅ cbd-during-detox: 70 studies (Moderate)
  ✅ cbd-for-burnout: 100 studies (Moderate)
  ✅ cbd-oil-for-anxiety-vs-gummies: 100 studies (Moderate)
  ✅ cbd-anti-inflammatory-mechanisms: 100 studies (Moderate)
  ✅ guaiol: 100 studies (Moderate)
  ✅ cbd-for-cat-ibd: 100 studies (Moderate)
